query_id,hit_id,hit_description,evalue,score
Aldedh,ANCCAN_03672,transcript=ANCCAN_03672 gene=ANCCAN_03672,1.1e-171,572.2
Aldedh,ANCCAN_12077,transcript=ANCCAN_12077 gene=ANCCAN_12077,1.4e-164,548.8
Aldedh,ANCCAN_15369,transcript=ANCCAN_15369 gene=ANCCAN_15369,1.8e-135,452.8
Aldedh,ANCCAN_22070,transcript=ANCCAN_22070 gene=ANCCAN_22070,6.7e-110,368.5
Aldedh,ANCCAN_02305,transcript=ANCCAN_02305 gene=ANCCAN_02305,1.6e-104,350.8
Aldedh,ANCCAN_30316,transcript=ANCCAN_30316 gene=ANCCAN_30316,4.9e-85,286.5
Aldedh,ANCCAN_11596,transcript=ANCCAN_11596 gene=ANCCAN_11596,6.5e-84,282.8
Aldedh,ANCCAN_18759,transcript=ANCCAN_18759 gene=ANCCAN_18759,1.6e-80,271.6
Aldedh,ANCCAN_11154,transcript=ANCCAN_11154 gene=ANCCAN_11154,5.8e-68,230.2
Aldedh,ANCCAN_10030,transcript=ANCCAN_10030 gene=ANCCAN_10030,3.1e-62,211.4
Aldedh,ANCCAN_13607,transcript=ANCCAN_13607 gene=ANCCAN_13607,1.3e-58,199.4
Aldedh,ANCCAN_20750,transcript=ANCCAN_20750 gene=ANCCAN_20750,3.9e-56,191.3
Aldedh,ANCCAN_13608,transcript=ANCCAN_13608 gene=ANCCAN_13608,1e-47,163.5
Aldedh,ANCCAN_20749,transcript=ANCCAN_20749 gene=ANCCAN_20749,3e-47,161.9
Aldedh,ANCCAN_29262,transcript=ANCCAN_29262 gene=ANCCAN_29262,1.9e-45,156.0
Aldedh,ANCCAN_10031,transcript=ANCCAN_10031 gene=ANCCAN_10031,7e-45,154.1
Aldedh,ANCCAN_10032,transcript=ANCCAN_10032 gene=ANCCAN_10032,5.6e-36,124.8
Aldedh,ANCCAN_20751,transcript=ANCCAN_20751 gene=ANCCAN_20751,4.9e-34,118.4
Aldedh,ANCCAN_05788,transcript=ANCCAN_05788 gene=ANCCAN_05788,4.1e-33,115.4
Aldedh,ANCCAN_13606,transcript=ANCCAN_13606 gene=ANCCAN_13606,1.1e-31,110.6
Aldedh,ANCCAN_02306,transcript=ANCCAN_02306 gene=ANCCAN_02306,1.2e-24,87.4
Aldedh,ANCCAN_10028,transcript=ANCCAN_10028 gene=ANCCAN_10028,7.3e-24,84.9
Aldedh,ANCCAN_10027,transcript=ANCCAN_10027 gene=ANCCAN_10027,7.4e-22,78.2
Aldedh,ANCCAN_11156,transcript=ANCCAN_11156 gene=ANCCAN_11156,2.5e-21,76.5
Aldedh,ANCCAN_11155,transcript=ANCCAN_11155 gene=ANCCAN_11155,3.1e-15,56.4
Aldedh,ANCCAN_05786,transcript=ANCCAN_05786 gene=ANCCAN_05786,3.2e-12,46.5
Aldedh,ANCCAN_10029,transcript=ANCCAN_10029 gene=ANCCAN_10029,4.7e-11,42.6
Aldedh,ANCCAN_00093,transcript=ANCCAN_00093 gene=ANCCAN_00093,0.0058,15.9
Aldedh,ANCCAN_30180,transcript=ANCCAN_30180 gene=ANCCAN_30180,4.5e-05,22.9
Aldedh,ANCCAN_28852,transcript=ANCCAN_28852 gene=ANCCAN_28852,0.049,12.9
