query_id,hit_id,hit_description,evalue,score
Aldedh,OESDEN_12623,transcript=OESDEN_12623 gene=OESDEN_12623,7.9e-147,490.0
Aldedh,OESDEN_09121,transcript=OESDEN_09121 gene=OESDEN_09121,2.9e-74,250.8
Aldedh,OESDEN_12617,transcript=OESDEN_12617 gene=OESDEN_12617,2e-138,462.3
Aldedh,OESDEN_01951,transcript=OESDEN_01951 gene=OESDEN_01951,8.7e-138,460.2
Aldedh,OESDEN_01982,transcript=OESDEN_01982 gene=OESDEN_01982,1.3e-129,433.3
Aldedh,OESDEN_07634,transcript=OESDEN_07634 gene=OESDEN_07634,4e-115,385.5
Aldedh,OESDEN_07674,transcript=OESDEN_07674 gene=OESDEN_07674,5.6e-107,358.6
Aldedh,OESDEN_10758,transcript=OESDEN_10758 gene=OESDEN_10758,2.1e-99,333.7
Aldedh,OESDEN_02473,transcript=OESDEN_02473 gene=OESDEN_02473,6.6e-91,305.6
Aldedh,OESDEN_01625,transcript=OESDEN_01625 gene=OESDEN_01625,7.1e-89,298.9
Aldedh,OESDEN_04234,transcript=OESDEN_04234 gene=OESDEN_04234,3.4e-80,270.3
Aldedh,OESDEN_12221,transcript=OESDEN_12221 gene=OESDEN_12221,3.6e-77,260.3
Aldedh,OESDEN_18290,transcript=OESDEN_18290 gene=OESDEN_18290,6.1e-65,220.0
Aldedh,OESDEN_15407,transcript=OESDEN_15407 gene=OESDEN_15407,1.3e-54,185.9
Aldedh,OESDEN_15560,transcript=OESDEN_15560 gene=OESDEN_15560,1.2e-51,176.2
Aldedh,OESDEN_18743,transcript=OESDEN_18743 gene=OESDEN_18743,1.5e-49,169.3
Aldedh,OESDEN_14499,transcript=OESDEN_14499 gene=OESDEN_14499,4.4e-44,151.3
Aldedh,OESDEN_24077,transcript=OESDEN_24077 gene=OESDEN_24077,2.5e-38,132.3
Aldedh,OESDEN_16189,transcript=OESDEN_16189 gene=OESDEN_16189,1e-34,120.3
Aldedh,OESDEN_17392,transcript=OESDEN_17392 gene=OESDEN_17392,1.1e-29,103.8
Aldedh,OESDEN_10241,transcript=OESDEN_10241 gene=OESDEN_10241,2.9e-29,102.4
Aldedh,OESDEN_04235,transcript=OESDEN_04235 gene=OESDEN_04235,7.3e-29,101.1
Aldedh,OESDEN_23365,transcript=OESDEN_23365 gene=OESDEN_23365,3.1e-23,82.5
Aldedh,OESDEN_16936,transcript=OESDEN_16936 gene=OESDEN_16936,2.4e-19,69.7
Aldedh,OESDEN_07675,transcript=OESDEN_07675 gene=OESDEN_07675,6.2e-16,58.5
Aldedh,OESDEN_18540,transcript=OESDEN_18540 gene=OESDEN_18540,8.1e-12,44.9
Aldedh,OESDEN_11951,transcript=OESDEN_11951 gene=OESDEN_11951,1.7e-06,27.3
Aldedh,OESDEN_25403,transcript=OESDEN_25403 gene=OESDEN_25403,3.7e-06,26.2
Aldedh,OESDEN_19018,transcript=OESDEN_19018 gene=OESDEN_19018,6.2e-05,22.2
Aldedh,OESDEN_12446,transcript=OESDEN_12446 gene=OESDEN_12446,0.0013,17.8
Aldedh,OESDEN_25109,transcript=OESDEN_25109 gene=OESDEN_25109,0.023,13.7
Aldedh,OESDEN_10645,transcript=OESDEN_10645 gene=OESDEN_10645,0.016,14.3
